scenario_id,release_id,defect_id,title,severity,status,owner,source_system,closure_note
P5V2-046,P5-REL-2.4.3,DF-P5-CRIT-046,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-047,P5-REL-2.4.4,DF-P5-047,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-047,P5-REL-2.4.4,DF-P5-CRIT-047,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-048,P5-REL-2.4.5,DF-P5-048,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-049,P5-REL-2.5.0,DF-P5-049,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-050,P5-REL-2.5.1,DF-P5-050,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-051,P5-REL-2.5.2,DF-P5-051,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-051,P5-REL-2.5.2,DF-P5-LOWUI-051,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-052,P5-REL-2.5.3,DF-P5-052,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-053,P5-REL-2.5.4,DF-P5-053,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-054,P5-REL-2.5.5,DF-P5-054,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-055,P5-REL-2.5.0,DF-P5-055,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-056,P5-REL-2.5.1,DF-P5-056,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-056,P5-REL-2.5.1,DF-P5-HIGH-056,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth,jira,
P5V2-057,P5-REL-2.5.2,DF-P5-057,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-057,P5-REL-2.5.2,DF-P5-CRIT-057,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-058,P5-REL-2.5.3,DF-P5-058,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-059,P5-REL-2.5.4,DF-P5-059,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-059,P5-REL-2.5.4,DF-P5-LOWUI-059,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-060,P5-REL-2.5.5,DF-P5-060,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-060,P5-REL-2.5.5,DF-P5-HIGH-060,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth,jira,
P5V2-061,P5-REL-2.6.0,DF-P5-061,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-062,P5-REL-2.6.1,DF-P5-062,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-062,P5-REL-2.6.1,DF-P5-LOWUI-062,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-063,P5-REL-2.6.2,DF-P5-063,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-063,P5-REL-2.6.2,DF-P5-LOWUI-063,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-064,P5-REL-2.6.3,DF-P5-064,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-065,P5-REL-2.6.4,DF-P5-065,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-065,P5-REL-2.6.4,DF-P5-LOWUI-065,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-066,P5-REL-2.6.5,DF-P5-066,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-066,P5-REL-2.6.5,DF-P5-CRIT-066,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-067,P5-REL-2.6.0,DF-P5-067,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-067,P5-REL-2.6.0,DF-P5-LOWUI-067,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-068,P5-REL-2.6.1,DF-P5-068,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-069,P5-REL-2.6.2,DF-P5-069,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-070,P5-REL-2.6.3,DF-P5-070,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-071,P5-REL-2.6.4,DF-P5-071,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-071,P5-REL-2.6.4,DF-P5-LOWUI-071,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-072,P5-REL-2.6.5,DF-P5-072,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
