scenario_id,release_id,requirement_id,description,priority,module,mandatory_for_phase5,domain,traceability_tag,module_alias_raw
P5V2-011,P5-REL-2.1.4,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-012,P5-REL-2.1.5,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,R-AUTH-01,Authentication Core
P5V2-012,P5-REL-2.1.5,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,R-TXN-02,Txn Engine
P5V2-012,P5-REL-2.1.5,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-012,P5-REL-2.1.5,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,R-AUD-04,Audit Ledger
P5V2-012,P5-REL-2.1.5,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,R-UI-05,BI Frontend
P5V2-013,P5-REL-2.2.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-013,P5-REL-2.2.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,R-TXN-02,Txn Engine
P5V2-013,P5-REL-2.2.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-013,P5-REL-2.2.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-013,P5-REL-2.2.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,R-UI-05,BI Frontend
P5V2-014,P5-REL-2.2.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-014,P5-REL-2.2.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-014,P5-REL-2.2.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-014,P5-REL-2.2.1,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-014,P5-REL-2.2.1,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-015,P5-REL-2.2.2,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-015,P5-REL-2.2.2,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,
P5V2-015,P5-REL-2.2.2,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-015,P5-REL-2.2.2,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-015,P5-REL-2.2.2,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-016,P5-REL-2.2.3,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,,MUST,Authentication Core
P5V2-016,P5-REL-2.2.3,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,,MUST,Txn Engine
P5V2-016,P5-REL-2.2.3,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-016,P5-REL-2.2.3,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-016,P5-REL-2.2.3,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-017,P5-REL-2.2.4,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,,R-AUTH-01,Authentication Core
P5V2-017,P5-REL-2.2.4,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-017,P5-REL-2.2.4,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,R-ORD-03,
P5V2-017,P5-REL-2.2.4,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,R-AUD-04,Audit Ledger
P5V2-017,P5-REL-2.2.4,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,R-UI-05,BI Frontend
P5V2-018,P5-REL-2.2.5,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-018,P5-REL-2.2.5,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-018,P5-REL-2.2.5,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-018,P5-REL-2.2.5,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-018,P5-REL-2.2.5,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-019,P5-REL-2.2.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-019,P5-REL-2.2.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-019,P5-REL-2.2.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-019,P5-REL-2.2.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-019,P5-REL-2.2.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-020,P5-REL-2.2.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-020,P5-REL-2.2.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-020,P5-REL-2.2.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,
P5V2-020,P5-REL-2.2.1,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-020,P5-REL-2.2.1,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-021,P5-REL-2.2.2,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-021,P5-REL-2.2.2,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-021,P5-REL-2.2.2,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-021,P5-REL-2.2.2,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,MUST,Audit Ledger
P5V2-021,P5-REL-2.2.2,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-022,P5-REL-2.2.3,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-022,P5-REL-2.2.3,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-022,P5-REL-2.2.3,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-022,P5-REL-2.2.3,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,MUST,Audit Ledger
P5V2-022,P5-REL-2.2.3,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-023,P5-REL-2.2.4,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,R-AUTH-01,Authentication Core
P5V2-023,P5-REL-2.2.4,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,
P5V2-023,P5-REL-2.2.4,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,R-ORD-03,Reconciliation Flow
P5V2-023,P5-REL-2.2.4,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,R-AUD-04,Audit Ledger
P5V2-023,P5-REL-2.2.4,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-024,P5-REL-2.2.5,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-024,P5-REL-2.2.5,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-024,P5-REL-2.2.5,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-024,P5-REL-2.2.5,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,
P5V2-024,P5-REL-2.2.5,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,
P5V2-025,P5-REL-2.3.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-025,P5-REL-2.3.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-025,P5-REL-2.3.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-025,P5-REL-2.3.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-025,P5-REL-2.3.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-026,P5-REL-2.3.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,
P5V2-026,P5-REL-2.3.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,R-TXN-02,Txn Engine
P5V2-026,P5-REL-2.3.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,R-ORD-03,
P5V2-026,P5-REL-2.3.1,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,R-AUD-04,Audit Ledger
P5V2-026,P5-REL-2.3.1,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-027,P5-REL-2.3.2,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,
P5V2-027,P5-REL-2.3.2,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,,MUST,Txn Engine
P5V2-027,P5-REL-2.3.2,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-027,P5-REL-2.3.2,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-027,P5-REL-2.3.2,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-028,P5-REL-2.3.3,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,R-AUTH-01,
P5V2-028,P5-REL-2.3.3,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,R-TXN-02,
P5V2-028,P5-REL-2.3.3,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,R-ORD-03,Reconciliation Flow
P5V2-028,P5-REL-2.3.3,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,R-AUD-04,
P5V2-028,P5-REL-2.3.3,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,R-UI-05,BI Frontend
P5V2-029,P5-REL-2.3.4,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-029,P5-REL-2.3.4,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-029,P5-REL-2.3.4,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-029,P5-REL-2.3.4,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-029,P5-REL-2.3.4,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-030,P5-REL-2.3.5,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-030,P5-REL-2.3.5,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-030,P5-REL-2.3.5,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-030,P5-REL-2.3.5,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-030,P5-REL-2.3.5,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-031,P5-REL-2.3.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-031,P5-REL-2.3.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,,MUST,Txn Engine
P5V2-031,P5-REL-2.3.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,,MUST,Reconciliation Flow
P5V2-031,P5-REL-2.3.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-031,P5-REL-2.3.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,
P5V2-032,P5-REL-2.3.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-032,P5-REL-2.3.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-032,P5-REL-2.3.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-032,P5-REL-2.3.1,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-032,P5-REL-2.3.1,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-033,P5-REL-2.3.2,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,R-AUTH-01,Authentication Core
P5V2-033,P5-REL-2.3.2,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-033,P5-REL-2.3.2,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-033,P5-REL-2.3.2,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,R-AUD-04,Audit Ledger
P5V2-033,P5-REL-2.3.2,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,R-UI-05,BI Frontend
P5V2-034,P5-REL-2.3.3,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-034,P5-REL-2.3.3,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-034,P5-REL-2.3.3,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,
P5V2-034,P5-REL-2.3.3,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,MUST,Audit Ledger
P5V2-034,P5-REL-2.3.3,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-035,P5-REL-2.3.4,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-035,P5-REL-2.3.4,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,,MUST,Txn Engine
P5V2-035,P5-REL-2.3.4,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,,MUST,Reconciliation Flow
P5V2-035,P5-REL-2.3.4,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,MUST,Audit Ledger
P5V2-035,P5-REL-2.3.4,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-036,P5-REL-2.3.5,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-036,P5-REL-2.3.5,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-036,P5-REL-2.3.5,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-036,P5-REL-2.3.5,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-036,P5-REL-2.3.5,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-037,P5-REL-2.4.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-037,P5-REL-2.4.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-037,P5-REL-2.4.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-037,P5-REL-2.4.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-037,P5-REL-2.4.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-038,P5-REL-2.4.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-038,P5-REL-2.4.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-038,P5-REL-2.4.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
