scenario_id,release_id,primary_class,secondary_modifiers,ambiguity_level,expected_decision
P5V2-019,P5-REL-2.2.0,MIXED_NON_BLOCKING_GO,partial_missing_fields|thread_fragmentation,medium,GO
P5V2-020,P5-REL-2.2.1,TRACEABILITY_GAP_HOLD,partial_missing_fields|timestamp_skew,medium,GO
P5V2-021,P5-REL-2.2.2,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|timestamp_skew,medium,HOLD
P5V2-022,P5-REL-2.2.3,CLEAN_GO,partial_missing_fields,low,GO
P5V2-023,P5-REL-2.2.4,MIXED_NON_BLOCKING_GO,alias_drift|partial_missing_fields|timestamp_skew,medium,GO
P5V2-024,P5-REL-2.2.5,MIXED_BLOCKING_HOLD,partial_missing_fields,medium,HOLD
P5V2-025,P5-REL-2.3.0,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|narrative_softness,high,HOLD
P5V2-026,P5-REL-2.3.1,CONFLICTED_EVIDENCE_HOLD,alias_drift|partial_missing_fields|narrative_softness,medium,HOLD
P5V2-027,P5-REL-2.3.2,MIXED_BLOCKING_HOLD,partial_missing_fields|narrative_softness,medium,HOLD
P5V2-028,P5-REL-2.3.3,CLEAR_HOLD_SINGLE_GATE,alias_drift|partial_missing_fields,low,HOLD
P5V2-029,P5-REL-2.3.4,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields,medium,HOLD
P5V2-030,P5-REL-2.3.5,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-031,P5-REL-2.3.0,CLEAN_GO,partial_missing_fields,low,GO
P5V2-032,P5-REL-2.3.1,CLEAN_GO,partial_missing_fields,low,GO
P5V2-033,P5-REL-2.3.2,CLEAN_GO,alias_drift|partial_missing_fields|narrative_softness,high,GO
P5V2-034,P5-REL-2.3.3,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields|narrative_softness,medium,HOLD
P5V2-035,P5-REL-2.3.4,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-036,P5-REL-2.3.5,CLEAN_GO,partial_missing_fields,low,GO
P5V2-037,P5-REL-2.4.0,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-038,P5-REL-2.4.1,CLEAR_HOLD_SINGLE_GATE,,low,HOLD
P5V2-039,P5-REL-2.4.2,CLEAR_HOLD_SINGLE_GATE,alias_drift|partial_missing_fields|narrative_softness,high,HOLD
P5V2-040,P5-REL-2.4.3,CLEAN_GO,partial_missing_fields,low,GO
P5V2-041,P5-REL-2.4.4,TRACEABILITY_GAP_HOLD,partial_missing_fields|timestamp_skew|thread_fragmentation,medium,GO
P5V2-042,P5-REL-2.4.5,CONDITIONAL_GOVERNANCE_HOLD,partial_missing_fields|narrative_softness,medium,HOLD
P5V2-043,P5-REL-2.4.0,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields|timestamp_skew|narrative_softness,medium,HOLD
P5V2-044,P5-REL-2.4.1,MIXED_BLOCKING_HOLD,partial_missing_fields,medium,HOLD
P5V2-045,P5-REL-2.4.2,CONFLICTED_EVIDENCE_HOLD,alias_drift|partial_missing_fields,medium,HOLD
P5V2-046,P5-REL-2.4.3,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|timestamp_skew,medium,HOLD
P5V2-047,P5-REL-2.4.4,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-048,P5-REL-2.4.5,CONDITIONAL_GOVERNANCE_HOLD,partial_missing_fields|timestamp_skew|narrative_softness,medium,HOLD
P5V2-049,P5-REL-2.5.0,CLEAN_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-050,P5-REL-2.5.1,CLEAR_HOLD_SINGLE_GATE,alias_drift|partial_missing_fields,low,HOLD
P5V2-051,P5-REL-2.5.2,MIXED_NON_BLOCKING_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-052,P5-REL-2.5.3,CLEAN_GO,partial_missing_fields,low,GO
P5V2-053,P5-REL-2.5.4,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields,medium,HOLD
P5V2-054,P5-REL-2.5.5,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-055,P5-REL-2.5.0,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|timestamp_skew|thread_fragmentation|narrative_softness,high,HOLD
P5V2-056,P5-REL-2.5.1,MIXED_BLOCKING_HOLD,partial_missing_fields|timestamp_skew,medium,HOLD
P5V2-057,P5-REL-2.5.2,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|narrative_softness,high,HOLD
P5V2-058,P5-REL-2.5.3,CLEAN_GO,partial_missing_fields|timestamp_skew|narrative_softness,high,GO
P5V2-059,P5-REL-2.5.4,MIXED_NON_BLOCKING_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-060,P5-REL-2.5.5,MIXED_BLOCKING_HOLD,partial_missing_fields|thread_fragmentation|narrative_softness,medium,HOLD
P5V2-061,P5-REL-2.6.0,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields|thread_fragmentation,medium,HOLD
P5V2-062,P5-REL-2.6.1,MIXED_NON_BLOCKING_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-063,P5-REL-2.6.2,MIXED_NON_BLOCKING_GO,partial_missing_fields|timestamp_skew|narrative_softness,medium,GO
P5V2-064,P5-REL-2.6.3,CLEAN_GO,partial_missing_fields|thread_fragmentation,medium,GO
P5V2-065,P5-REL-2.6.4,MIXED_NON_BLOCKING_GO,timestamp_skew,medium,GO
P5V2-066,P5-REL-2.6.5,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-067,P5-REL-2.6.0,MIXED_NON_BLOCKING_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-068,P5-REL-2.6.1,CONDITIONAL_GOVERNANCE_HOLD,partial_missing_fields|timestamp_skew,medium,HOLD
P5V2-069,P5-REL-2.6.2,CLEAN_GO,alias_drift|partial_missing_fields|thread_fragmentation|narrative_softness,high,GO
P5V2-070,P5-REL-2.6.3,CONDITIONAL_GOVERNANCE_HOLD,alias_drift|partial_missing_fields|narrative_softness,medium,HOLD
P5V2-071,P5-REL-2.6.4,MIXED_NON_BLOCKING_GO,partial_missing_fields|timestamp_skew|thread_fragmentation,high,GO
P5V2-072,P5-REL-2.6.5,CONDITIONAL_GOVERNANCE_HOLD,partial_missing_fields|thread_fragmentation,high,HOLD
